"State" "County"
"1" "AL" "Autauga "
"2" "AL" "Baldwin "
"3" "AL" "Barbour "
"4" "AL" "Bibb "
"5" "AL" "Blount "
"6" "AL" "Bullock "
"7" "AL" "Butler "
"8" "AL" "Calhoun "
"9" "AL" "Chambers "
"10" "AL" "Cherokee "
"11" "AL" "Chilton "
"12" "AL" "Choctaw "
"13" "AL" "Clarke "
"14" "AL" "Clay "
"15" "AL" "Cleburne "
"16" "AL" "Coffee "
"17" "AL" "Colbert "
"18" "AL" "Conecuh "
"19" "AL" "Coosa "
"20" "AL" "Covington "
"21" "AL" "Crenshaw "
"22" "AL" "Cullman "
"23" "AL" "Dale "
"24" "AL" "Dallas "
"25" "AL" "De Kalb "
"26" "AL" "Elmore "
"27" "AL" "Escambia "
"28" "AL" "Etowah "
"29" "AL" "Fayette "
"30" "AL" "Franklin "
"31" "AL" "Geneva "
"32" "AL" "Greene "
"33" "AL" "Hale "
"34" "AL" "Henry "
"35" "AL" "Houston "
"36" "AL" "Jackson "
"37" "AL" "Jefferson "
"38" "AL" "Lamar "
"39" "AL" "Lauderdale "
"40" "AL" "Lawrence "
"41" "AL" "Lee "
"42" "AL" "Limestone "
"43" "AL" "Lowndes "
"44" "AL" "Macon "
"45" "AL" "Madison "
"46" "AL" "Marengo "
"47" "AL" "Marion "
"48" "AL" "Marshall "
"49" "AL" "Mobile "
"50" "AL" "Monroe "
"51" "AL" "Montgomery "
"52" "AL" "Morgan "
"53" "AL" "Perry "
"54" "AL" "Pickens "
"55" "AL" "Pike "
"56" "AL" "Randolph "
"57" "AL" "Russell "
"58" "AL" "Shelby "
"59" "AL" "St Clair "
"60" "AL" "Sumter "
"61" "AL" "Talladega "
"62" "AL" "Tallapoosa "
"63" "AL" "Tuscaloosa "
"64" "AL" "Walker "
"65" "AL" "Washington "
"66" "AL" "Wilcox "
"67" "AL" "Winston "
"68" "AZ" "Apache "
"69" "AZ" "Cochise "
"70" "AZ" "Coconino "
"71" "AZ" "Gila "
"72" "AZ" "Graham "
"73" "AZ" "Greenlee "
"74" "AZ" "La Paz "
"75" "AZ" "Maricopa "
"76" "AZ" "Mohave "
"77" "AZ" "Navajo "
"78" "AZ" "Pima "
"79" "AZ" "Pinal "
"80" "AZ" "Santa Cruz "
"81" "AZ" "Yavapai "
"82" "AZ" "Yuma "
"83" "AR" "Arkansas "
"84" "AR" "Ashley "
"85" "AR" "Baxter "
"86" "AR" "Benton "
"87" "AR" "Boone "
"88" "AR" "Bradley "
"89" "AR" "Calhoun "
"90" "AR" "Carroll "
"91" "AR" "Chicot "
"92" "AR" "Clark "
"93" "AR" "Clay "
"94" "AR" "Cleburne "
"95" "AR" "Cleveland "
"96" "AR" "Columbia "
"97" "AR" "Conway "
"98" "AR" "Craighead "
"99" "AR" "Crawford "
"100" "AR" "Crittenden "
"101" "AR" "Cross "
"102" "AR" "Dallas "
"103" "AR" "Desha "
"104" "AR" "Drew "
"105" "AR" "Faulkner "
"106" "AR" "Franklin "
"107" "AR" "Fulton "
"108" "AR" "Garland "
"109" "AR" "Grant "
"110" "AR" "Greene "
"111" "AR" "Hempstead "
"112" "AR" "Hot Spring "
"113" "AR" "Howard "
"114" "AR" "Independence "
"115" "AR" "Izard "
"116" "AR" "Jackson "
"117" "AR" "Jefferson "
